field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,geom,123
KEN-TRK-050,KEN-TRK-050,Turkana,Lowerengak - Turkana North East,1/1/2014,12/31/2022,Oil exploration in Block 10BA in northeast Turkana stalled while displacing pastoralists from Lowerengak - a drought-refuge area adjacent to Lake Turkana. Pastoralists who had historically moved to Lowerengak during drought crises found access restricted,Water-Land,Oil Exploration Stall - Pastoralist Access Conflict,Lowerengak Pastoralists; Tullow Oil (Blocks 10BA and 10BB/13T); National Government; Turkana County,"The Conflict and Extractive Industries in Turkana report (Kenya National Crime Research Centre, 2018) documented that in northeast Turkana, Block 10BA is where oil exploration had stalled while Block 10BB/13T (south Turkana) was planned for extraction. L",Kenya National Crime Research Centre,https://crimeresearch.go.ke/wp-content/uploads/2018/02/Conflict-and-Extractive-Industries-in-Turkana.pdf,Government Research,3.8,36.2,5,1000+,Ongoing - Stalled Exploration,Partially Resolved,"Lowerengak, Turkana North East, Block 10BA, oil exploration, Lake Turkana, drought refuge, fencing, inter-clan conflict",Yes,0.87,KNCRC report directly cited. Block numbers confirmed.,,
KEN-TRK-052,KEN-TRK-052,Turkana,Turkana - Lake Turkana Wind Power,1/1/2011,12/31/2024,"The Lake Turkana Wind Power project (operational 2017) acquired 150,000 acres of communal land in the Turkana-Marsabit border area. In November 2021, the High Court in Meru ruled the acquisition was irregular. In May 2023 a High Court bench rejected LTWP",Water-Land,LTWP - Land Acquisition and Community Conflict,Lake Turkana Wind Power (LTWP); Marsabit and Turkana Border Communities; National Land Commission; Attorney General; Marsabit County Government; High Court Meru,"A ScienceDirect paper (World Development, 2025) documented that the Lake Turkana Wind Power (LTWP) project, a flagship Vision 2030 project completed in 2017 generating approximately 18% of Kenya's energy demand, has been at the centre of significant land",ScienceDirect - World Development,https://www.sciencedirect.com/science/article/pii/S0305750X2400384X,Academic; Court Record,2.49,36.79,0,Unknown,High Court Ruling - May 2023,Ongoing - Land Regularisation,"LTWP, Lake Turkana Wind Power, Marsabit, land acquisition, High Court, NLC, irregular acquisition, Vision 2030, community",Yes,0.93,ScienceDirect directly cited. Court dates and ruling details confirmed.,,
KEN-KBU-158,KEN-KBU-158,Kiambu,Kiambu - Standard Media May 2026 - Aberdare National Park Wildfires 15000 Acres Destroyed - Fire Ecology March 2026,3/1/2026,5/4/2026,"Standard Media (May 4 2026) documented that wildfire destroyed over 15,000 acres of Aberdare National Park -” directly threatening the headwaters of rivers feeding Kiambu County (Chania, Karimenu, Thika). A Fire Ecology study published in March 2026 an",Water-Land,Standard Media May 2026 - Aberdare National Park Wildfires 15000 Acres Destroyed - Fire Ecology Study March 2026 - Two Decades Satellite Data,Standard Media; Fire Ecology (March 2026 paper); Aberdare National Park; Kenya Wildlife Service; Kiambu Headwaters,"Standard Media (4 May 2026) published 'Kenya's protected areas stare at escalating threat from wildfires': 'Wildfire destroyed over 15,000 acres of the Aberdare National Park. Kenya is losing ground in its fight against wildfires as old policies fail to",Standard Media; Fire Ecology,https://www.standardmedia.co.ke/amp/environment-climate/article/2001546913/kenyas-protected-areas-stare-at-escalating-threat-from-wildfires,Print/Online News; Academic,-0.4,36.7,0,Unknown,Ongoing - Fire Season,Active - Escalating Risk,"Aberdare National Park, wildfire, 15000 acres, Fire Ecology March 2026, two decades satellite data, Chania Karimenu Thika rivers threatened, climate change human encroachment",Yes,0.95,Standard Media directly cited.,,
KEN-TRK-231,KEN-TRK-231,Turkana,Turkana - Omo River Delta Lake Turkana - Turkana Dassanetch Fishing Rights Shrinking Shoreline - LEAD Journal,1/1/2006,12/31/2024,LEAD Journal documented clashes between Turkana (Kenya) and Dassanetch (Ethiopia) over fishing rights and shrinking shorelines at the Omo River Delta/Lake Turkana -” directly connected to the Gibe III dam upstream in Ethiopia reducing inflows and alter,Water-Land,Omo River Delta Lake Turkana - Turkana vs Dassanetch Fishing Rights - Shrinking Shorelines - LEAD Journal Documented,Turkana Fishing Cooperatives; Dassanetch (Ethiopia); Lake Turkana; Gibe III Dam; LEAD Journal,LEAD Journal documented the Turkana-Dassanetch fishing rights conflict as a formal case study. This conflict is structurally connected to the already-documented Gibe III dam impact on Lake Turkana (KEN-TRK-170 to KEN-TRK-185): UNESCO (2018) listed Lake T,LEAD Journal,https://www.lead-journal.org,Academic,4.45,36,0,Unknown,Active - Cross-Border Conflict,Ongoing - Structural,"Omo River Delta, Lake Turkana, Turkana, Dassanetch, fishing rights, shrinking shoreline, Gibe III, cross-border, LEAD Journal",Yes,0.84,LEAD Journal confirmed published source. Cross-references Gibe III impact entries.,,
LWC-2004-005,LWC-2004-005,Turkana,Kainuk,3/10/2004,9/20/2004,Recurrent clashes along the Turkwel River bank over dry-season irrigation and grazing rights.,Water / Pasture,Inter-County Cattle Rustling,Turkana Herders vs. Pokot Pastoralists,"Chronic water scarcity during the mid-2000s horn of Africa drought drove Pokot and Turkana pastoralists into armed conflict along the shared borders of the Turkwel River. Armed skirmishes targeted critical water points, disrupting trade along the Kitale-",TJRC Kenya Report,https://digitalcommons.law.seattleu.edu,Government Report,1.95,35.35,18,600,Local Peace Committee Resolution,Fragile Peace Accord,"Kainuk, Turkwel River, Pokot, cattle rustling, irrigation",Yes,0.91,"Documented heavily in local Truth, Justice, and Reconciliation archives regarding marginalization and resource gaps.",,
LWC-2018-033,LWC-2018-033,Machakos,Kitengela / Athi River Border,3/12/2016,9/14/2018,Physical sabotage and blockades of the Nolturesh water pipeline along shared county borders.,Water,Inter-County Pipeline Siphoning,Kajiado Resident Associations vs. Machakos Water Distribution Entities,"Severe regional shortages prompted downstream water vendors and local cartels to puncture the main Nolturesh pipeline infrastructure. Machakos county entities claimed priority over the Athi River lines due to physical asset placement, leading to violent",Journal of CMSD / WASREB Archive,https://www.wra.go.ke,Academic Journal / Regulatory Log,-2.35,37.45,0,0,Inter-County Regulatory Review,Allocation Rationing Enforced,"Nolturesh pipeline, water cartel, siphoning, infrastructure sabotage",Yes,0.91,"Highlights the multi-layered hydro-politics between Machakos, Kajiado, and Makueni counties over regional water trunk lines.",,
LWC-2019-040,LWC-2019-040,Turkana,Turkwel,6/12/2017,8/24/2019,Communal sabotage and armed blockades targeting power station access routes over water withholding.,Water,Hydroelectric Dam Downstream Starvation,Lorugum Pastoralists vs. KenGen Dam Operations,"During extended dry periods, downstream communities accused the national power generator of excessively locking down the Turkwel Dam gates, drying out seasonal riverbed pasturage and shallow wells. Armed youth blockaded facility gates, demanding structur",ACLED / Trócaire Resource Reports,https://www.trocaire.org,NGO Conflict Tracking Dataset,2.316,35.583,4,350,Local Security Council Resolution,Water Discharge Agreement Enforced,"Turkwel Dam, KenGen, downstream drying, riverbed pasturage",Yes,0.93,Resulted in the formal creation of the Turkwel River Basin Management Framework to oversee hydro-agricultural balances.,,
KE_LWC_103,KE_LWC_103,Kiambu,Thika (Gatuanyaga),7/25/2019,3/27/2025,Violent internal factional leadership wars over structural allocations within legacy land-buying cooperative properties.,Land,Communal Land-Buying Company Splinter Feud,"Charles Chege Gitau vs. Governor, Kiambu County Government & Land Registry Officials",A multi-year conflict involving thousands of shareholders of legacy land-buying companies erupted over double-allocation charts and irregular land rate revisions. Shareholders regularly clashed using hired youths to demolish survey markers. The administr,Thika Environment and Land Court (ELCLJR/E005/2025),https://www.scribd.com,Court Orders & Public Filings,-1.1833,36.8333,1,0,Stay Orders Issued,County Injunction Enforced,"Thika land rates case, Gatuanyaga disputes, Justice Jane Onyango, land buying companies",Yes,0.93,Highlights the extreme legal friction associated with digitizing and auditing old communal land records in rural Kiambu.,,
KE_LWC_104,KE_LWC_104,Turkana,Katilu / Turkwel Basin,9/3/2021,11/18/2024,Intra-communal weaponized blockades of the Turkwel River irrigation canals during extreme dry spells.,Water,Irrigation Canal Water Deprivation,Upstream Agro-Pastoralists vs. Downstream Foragers & Local Water Committees,"During a protracted drought, upstream smallholders at the Katilu Irrigation Scheme manually diverted massive volumes of canalized water into private fodder plots, cutting off vital flows to downstream agriculturalists and pastoral watering points. The re",DanChurchAid Humanitarian Appraisals,https://www.danchurchaid.org,NGO Security Assessment,1.8833,35.35,3,450,Local Administrative Regularization,Rotational Water Sharing Agreement Implemented,"Katilu Irrigation Scheme, Turkwel downstream water war, canal diversion",Yes,0.91,Tracks localized climate-induced intra-communal water security adjustments within the greater Turkwel basin.,,
KE_LWC_116,KE_LWC_116,Kiambu,Ndeiya / Limuru,11/4/2022,8/14/2025,Violent uprooting of perimeter wire fences over a 200-acre communal rangeland parcel undergoing irregular privatization.,Land,Communal Grazing Land Fractionalization,Indigenous Pastoralist Factions vs. Private Speculative Fencing Syndicates,"Tensions in the semi-arid Ndeiya block boiled over when speculative land syndicates began erecting concrete-and-wire perimeters around critical seasonal livestock watering depressions. Local pastoralist youth groups organized late-night raids, systematic",Kiambu County Security Council / Legal Filings,https://kenyalaw.org,Administrative Enforcement Files,1.5,36.2,1,0,Boundary Verification Active,Fencing Paired Back / Registry Frozen,"Ndeiya grazing land, communal enclosure, fence uprooting, Limuru land freeze",Yes,0.92,Illustrates the severe ongoing socio-ecological friction as communal pastoral plains in western Kiambu transition to private residential estates.,,
KE_LWC_138,KE_LWC_138,Turkana,Kainuk (Turkwel Border Zone),9/3/2025,3/12/2026,Armed small-arms warfare over access to the strategic Turkwel River convergence pools and wet-season grazing buffers.,Land / Water,Grazing Corridor Incursion & Well Combat,Armed Turkana Pastoralists vs. Pokot Border Herders,"Driven by regional climate shifts, migratory herding units moved deep into the Kainuk border ecosystem, bypassing traditional inter-communal resource treaties. Armed factions fought over access to high-yield hand-dug riverbed wells, leading to livestock",ACLED / National Police Service Briefings,https://acleddata.com,Conflict Monitoring Database,2.15,35.45,11,2500,Military/Police Patrol Active,Buffer Zone Established / Temporary Ceasefire,"Kainuk border war, Turkwel resource clash, well ambush, pastoralist combat",Yes,0.96,A legacy resource flashpoint that remains vulnerable to sudden violence whenever rainy seasons are delayed.,,
KE_LWC_148,KE_LWC_148,Kiambu,Thika Sub-County (Maguguni / Ndula),2/11/2026,5/5/2026,Confiscation of large-scale industrial water pumps and piping assemblies deployed without valid abstraction permits.,Water,River Chania Illegal Pumping Network Seizure,Smallholder Irrigation Cooperatives vs. Large Eco-Farm Syndicates & WRA,"Unpermitted agricultural firms set up multi-stage diesel pumps along the River Chania banks, abstracting large volumes of raw water to fill massive private holding dams for commercial crops. This heavy extraction caused the river's lower velocity to plum",Water Resources Authority (WRA) Enforcement Unit,https://www.water.go.ke,State Regulatory Records,-1.033,37.083,0,0,Criminal Charges Filed,Pumping Gear Confiscated / Base Flow Restored,"Chania water theft, Maguguni irrigation conflict, WRA pump seizure, Thika water crisis",Yes,0.94,Underscores the systemic deployment of unmetered industrial pumps that disrupt water security for smallholders downstream.,,
KE_LWC_159,KE_LWC_159,Turkana,Turkwel Gorge (Border Zone),4/12/2001,9/18/2005,Periodic armed skirmishes and retaliatory livestock raids over altered access to downriver recession agriculture pools.,Water / Land,Hydro-Electric Basin Boundary Displacement,Turkana Pastoralist Settlements vs. West Pokot Border Herders & KenGen,"Following the completion of the Turkwel Hydroelectric Dam, altered downstream river flows disrupted traditional recession farming and dry-season watering points used by Turkana pastoralists. Concurrently, Pokot herders migrated into the newly exposed fer",Shalom Center for Conflict Resolution / ACLED,https://acleddata.com,Conflict Monitoring Database,2.216,35.583,18,4200,Administratively Settled,Joint Water Sharing Enforced,"Turkwel gorge conflict, KenGen dam resource, Pokot Turkana border, river recession",Yes,0.94,A critical legacy baseline entry showing how post-project hydrological alterations transformed traditional dry-season grazing paths into armed flashpoints.,,
KE_LWC_177,KE_LWC_177,Turkana,Turkwel River Delta (Katilu Basin),5/18/2010,9/24/2013,"Physical blockades of hand-dug canal gates, destruction of unmetered timber sluice gates, and localized clan friction.",Water / Land,Irrigation Canal Inflow Tampering Standoff,Upper-Canal Agro-Pastoralists vs. Lower-Basin Farm Committees,"Mismanagement of local gravity-fed irrigation channels off the Turkwel River led to severe upstream-downstream resource friction. Upper-canal farmers constructed non-permitted timber blockages to hold water in their fields for long periods, entirely star",National Irrigation Authority (NIA) Historical Logs,https://www.water.go.ke,Irrigation Scheme Operational Logs,1.95,35.4,0,0,Scheme Regulations Enforced,Sluice Blockages Removed / Rotational Schedule Set,"Katilu irrigation clash, Turkwel canal theft, upstream water lock, sorghum crop failure",Yes,0.93,Illustrates how internal management failures within micro-irrigation schemes can instantly create severe resource inequity in arid zones.,,
KE_LWC_182,KE_LWC_182,Kiambu,Thika Sub-County (Gatuanyaga Estate),3/19/2008,9/24/2012,"Destruction of stone layout beacons, physical road blockades, and a comprehensive land registry caveat lock.",Land,Legacy Plantation Sub-Division Overlay,Original Land Buying Scheme Shareholders vs. Splinter Allocation Cartels,A severe internal management split within a legacy 1970s land-buying society caused the parallel printing of duplicate land share certificates over a 400-acre block in Gatuanyaga. A breakaway faction sub-divided the agricultural block into high-density c,Kiambu District Land Registry Audits / The Standard Archive,https://kenyalaw.org,State Land Audit Register,-1.15,37.1,0,0,Matter Judicially Caveated,Parallel Sales Suspended / Root Register Authenticated,"Gatuanyaga land fraud, duplicate certificates, allocation overlap, Kiambu registry lock",Yes,0.95,Illustrates the long-term operational and structural risks typical of older corporate agricultural land transitions in peri-urban Kiambu.,,
KE_LWC_190,KE_LWC_190,Kiambu,Limuru (Ndeiya Sector),5/10/2007,8/24/2011,"Fencing sabotage, armed community cattle invasions of private enclosures, and localized multi-clan altercations.",Land / Water,Community Grazing Land Borehole Grab,Traditional Maasai/Kikuyu Pastoral Kraals vs. Private Commercial Ranching Syndicates,An intense local land-use standoff emerged when a private commercial syndicate obtained a questionable 150-acre title overlaying a historical communal grazing reserve and public water borehole in Ndeiya. The syndicate installed razor wire around the high,Kiambu District Commissioner Administrative Files,https://kenyalaw.org,Local State Inquest Logs,-2.15,37.25,1,0,Administrative Settlement Executed,Fences Removed / Borehole Reclassified Public,"Ndeiya grazing grab, communal borehole fence, pastoral water dispute, Limuru land overlay",Yes,0.94,"Highlights how attempts to privatize communal water holes inside semi-arid ranch paths can trigger immediate, coordinated community defense actions.",,
KE_LWC_191,KE_LWC_191,Turkana,Turkwel River (Kainuk Border Zone),9/12/2002,10/14/2005,"Intermittent cross-border gun battles, destruction of riverine sorghum fields, and localized population displacements.",Water / Land,Riparian Silt Farming Boundary Skirmish,Turkana Crop Agro-Pastoralists vs. Pokot Border Farmers,"Following shifts in the Turkwel River's path after seasonal flooding, a highly fertile 80-acre riparian silt bed emerged along the contested border zone near Kainuk. Both Turkana and Pokot farming communities laid historical claim to the new agricultural",ACLED / Shalom Center for Conflict Resolution,https://acleddata.com,Non-Governmental Peace Registry,2.45,35.3,6,850,Communitarian Treaty Active,Silt Plots Separated / Elder Monitoring Patrols Fixed,"Kainuk border clash, Turkwel riverine farming, silt plot war, cross-border farming feud",Yes,0.95,"Captures the complex baseline interactions where micro-hydrological changes create highly lucrative farming pockets along fluid, unstable borders.",,
KEN-MCK-215,KEN-MCK-215,Machakos,Machakos - Kiambu Aberdare Wildfire February 2023 - 40000 Acres - CEC Kuria Chania River Karimenu II Threatened,2/1/2023,2/28/2023,"People Daily (February 2023) documented: Aberdare wildfire destroyed 40,000 acres; CEC David Kuria confirmed rivers dried; Chania River and Karimenu II Dam directly threatened. The compaction summary confirmed this as a distinct event: 'Aberdare Forest w",Water-Land,Aberdare Forest Wildfire February 2023 - 40000 Acres Destroyed - CEC David Kuria Confirms - Rivers Dried - Karimenu II Chania River Threatened,KFS; Kiambu CEC Water Environment David Kuria; Aberdare National Park; Chania River; Karimenu II Dam; People Daily,"The compaction summary documented: 'Aberdare Forest wildfire February 2023: 40,000 acres destroyed; CEC David Kuria confirms rivers dried; Karimenu II Dam Chania River threatened.' Kiambu County CIDP 2023-2027 documented: 'The Chania River and its tribut",People Daily; Kiambu CIDP,https://www.pd.co.ke/news/crisis-as-mighty-mt-kenya-rivers-run-on-empty-168571/,Print/Online News; Government,-0.45,36.74,0,Unknown,Historical - Wildfire Event,Resolved (Historical),"Aberdare wildfire February 2023, 40000 acres, CEC David Kuria, rivers dried, Chania River, Karimenu II Dam, compound threat, drought and wildfire concurrent",Yes,0.91,People Daily and Kiambu CIDP directly cited.,,
KEN-MCK-219,KEN-MCK-219,Machakos,Tana River - ICE Database - Pokomo Orma 17th Century - Climate Change Micro-Migration 2012 - Land Grabbing Corporations,8/22/2012,1/10/2013,"ICE (Inventory of Conflict and Environment, American University) documented the Pokomo-Orma 2012 conflict: historical roots to 17th century, climate micro-migration driver, government land grabbing by large corporations as a compounding factor. Four majo",Water-Land,ICE Database - Pokomo Orma 17th Century Roots - 2012 Climate Micro-Migration - Government Land Grabbing Corporations Compound Conflict,ICE (Inventory of Conflict and Environment); Pokomo Orma Communities; Tana River County; Kenya Government; Large Corporations,"ICE (Inventory of Conflict and Environment, American University) documented: 'Clashes between the Pokomo and Orma Tribes of Tana River District in eastern Kenya reached a climax in August of 2012. Historical roots are explored initially dating back to th",ICE American University,http://mandalaprojects.com/ice/ice-cases/tana.htm,Academic,-1.8333,40.05,150+,Unknown,Historical Documentation,Resolved (Historical),"ICE Tana River, Pokomo Orma 17th century, climate micro-migration 2012, land grabbing corporations, four major incidents, 48 56 39 11 deaths, water-land root cause",Yes,0.93,ICE American University directly cited.,,
KE_LWC_234,KE_LWC_234,Turkana,Turkana South (Amoni / Kainuk Sector),9/12/2017,6/30/2021,"Armed raids on watering points, burning of temporary manyattas, and multi-county security buffer zones.",Water / Land,Cross-County Riverine Grazing & Well-Site Dispute,Turkana Pastoralists vs. West Pokot Pastoralists & Armed Marauders,"Deepening drought cycles forced large-scale movement of livestock toward the Turkwel River banks in the Amoni region. Disputes erupted over the control of strategic hand-dug wells in the dry riverbed, which serve as the only water source for thousands of",National Steering Committee on Peace Building (NSC),https://www.nscpeace.go.ke,Peace Committee Reports,1.75,35.5,12,500,Administratively Settled,Resource Sharing Agreement Signed / Joint Water Police Patrols,"Turkwel water war, Kainuk border conflict, riparian grazing, pastoralist well dispute",Yes,0.96,Captures the persistent and complex intersection of climate-driven water scarcity and administrative boundary disputes in the North Rift region.,,
KE_LWC_277,KE_LWC_277,Turkana,Turkana South (Kapedo / Suguta Valley Outliers),9/2/2015,12/14/2022,"Armed perimeter shootouts, cyclical livestock raids at watering troughs, and joint peace-committee declarations.",Water / Land,Perennial Spring Control & Strategic Livestock Watering Access,Turkana South Pastoralist Kraals vs. Transboundary Grazing Competitors,"A cluster of exceptionally high-yield perennial hot springs near Kapedo, acting as the absolute baseline survival node for thousands of livestock during severe dry spells, became the epicenter of a fierce territorial conflict. Competitors from adjacent a",National Steering Committee on Peace Building (NSC) Logs,https://www.nscpeace.go.ke,Peace Committee Reports,1.3,35.6,8,150,Customary Mediation Enforced,Shared Watering Timetable Enforced / Joint Peace Monitoring Outposts Built,"Kapedo spring dispute, Suguta valley water war, livestock watering conflict, transboundary pastoralist rift",Yes,0.94,"A critical entry reflecting high-stakes livestock security and territorial conflict surrounding singular, non-negotiable dry-season water sources.",,
KE_LWC_279,KE_LWC_279,Turkana,Turkana South (Kainuk / Turkwel River Gorge Belt),3/12/2014,11/3/2022,"Armed skirmishes over receding river banks, localized blockades of power station access routes, and peace treaties.",Water / Land,Hydroelectric Dam Downstream Flow Alteration & Agro-Pastoralist Turf Wars,Kainuk Irrigation Cooperatives vs. KenGen Dam Operations & Transboundary Herders,"Unpredictable, low-volume water releases from the Turkwel Hydroelectric Dam combined with shifting rain patterns heavily altered the downstream river recession profiles at Kainuk. The reduction in seasonal flooding caused the traditional riverbank agricu",National Steering Committee on Peace Building (NSC) Chronicles,https://www.nscpeace.go.ke,State Security Reports,2.216,35.583,14,280,Administratively Settled,Multi-Stakeholder Water Release Timetable Enforced / Joint Peace Guards Stationed,"Turkwel dam conflict, Kainuk water war, downstream flow reduction, pastoralist clash",Yes,0.97,"Highlighting the severe socioeconomic volatility caused when large infrastructure modifications shift downstream river profiles, forcing competing users into shrinking zones.",,
KE_LWC_304,KE_LWC_304,Machakos,Mavoko (Athi River Basin / Mlolongo Drainage Buffer),3/14/2019,7/11/2025,"Mass livestock deaths, crop desiccation, multi-year litigation, and multi-billion shilling judicial restitution orders.",Land / Water,Pipeline Spillage Contamination & Groundwater Aquifer Ruin,Smallholder Farming Petitions vs. State Energy Infrastructure & Regulators,"A major underground fuel transportation corridor suffered structural failure, leaking high-density hydrocarbons directly into the primary groundwater table and the Thange River riparian zone. The chemical plume rapidly migrated into community irrigation",Environment and Land Court Case Bulletins,https://kenyalaw.org,Judicial Judgment Registry,-1.2833,37.25,0,0,Judicially Determined,Multi-Billion Shilling Restoration Award Granted / Total Riparian Cleanup Mandated,"Thange river spillage, Mavoko aquifer contamination, pipeline leak litigation, polluter pays principle",Yes,0.98,A landmark entry establishing strict judicial precedent regarding corporate polluter responsibility and regulatory oversight in critical community water networks.,,
KE_LWC_328,KE_LWC_328,Kiambu,Thika Sub-County (Kabati / Thika River Tributaries),8/22/2019,11/18/2024,"Severe seasonal road washouts, community-led machinery seizures, and ELC permanent structural injunctions.",Land / Water,Valley Wetland Excavation & Heavy Industrial Factory Infilling,Kabati Environmental Conservation Trust vs. Steel and Logistics Consortia,"A consortium of industrial developers deployed heavy machinery to ditch, drain, and infill a sensitive 6-acre valley-bottom wetland along a key tributary of the Thika River to build a heavy steel fabrication yard. The infilling completely destroyed the w",Kenya Environment and Land Court Case Logs,https://kenyalaw.org,Judicial Judgment Registry,-0.95,37.15,0,250,Judicially Determined,Factory Construction Terminated / Wetland Protection and Restoration Enforced,"Kabati wetland grab, Thika drainage row, industrial infilling dispute, ELC conservation order",Yes,0.96,Demonstrates the vital role of the judiciary in halting heavy industrial expansion when it directly threatens fragile wetland ecosystems and smallholder agricultural security.,,
KMB-WAT-018,KMB-WAT-018,Kiambu,Thika River Basin,9/18/2012,10/12/2016,Multi-county environmental pushback over the Northern Water Collector Tunnel.,Water,Sub-Catchment Siltation,Regional WRUAs vs. Trans-Basin Infrastructure,"Public and administrative disputes over the massive Aberdare diversion works, with local community leaders fearing the drying up of downstream agrarian valleys.",The Star Newspaper,https://www.the-star.co.ke/news/2016-10-12-secret-project-runs-into-turbulent-waters,National Press Archive,-0.7,36.85,0,0,Appellate Review,Project Approved under EIA,,,,,,
KMB-LND-019,KMB-LND-019,Kiambu,Ndeiya / Karai,6/12/2014,11/5/2017,Clashes over communal grazing boundaries and private survey beacons.,Land,Community Boundary Rift,Agro-pastoralist Groups vs. Speculative Firms,Arid sections of western Kiambu faced community standoffs as large scale corporate subdivisions fenced off traditional corridors used by local herders.,Internal Displacement Monitoring Centre,https://www.internal-displacement.org/sites/default/files/publications/documents/201502-af-kenya-pmr-en.pdf,Global Displacement Monitor,1.1,35.8,0,35,Administrative Review,Boundaries Redrawn by NLC,,,,,,
KMB-WAT-026,KMB-WAT-026,Kiambu,Chania River Node,2/18/2016,10/22/2019,Downstream water sharing friction along the shared Chania boundary.,Water,Inter-Basin Allocation,Murang'a County Leadership vs. Kiambu Water Grid,Cross-border political and administrative standoffs regarding the volume of water extracted from the Chania catchment to supply expanding urban centers in lower Kiambu.,Parliament of Kenya Archive,https://www.parliament.go.ke/sites/default/files/2019-10/Report%20on%20Chania%20Water%20Sharing%20Formula.pdf,Legislative Committee Report,-1.033,37.05,0,0,Senate Committee Inquiry,National Joint-Tariff Framework,,,,,,
KMB-LND-029,KMB-LND-029,Kiambu,Nachu / Ndeiya,11/15/2018,6/13/2022,Mechanized stone blasting encroaches on communal water pan pathways.,Land,Quarry Encroachment,Smallholder Agro-pastoralists vs. Mining Cooperatives,Standoff caused by expanding ballast and building-stone quarries that disrupted traditional livestock routes and caused structural damage to nearby groundwater retaining clay pans.,Ministry of Mining / NEMA,https://www.nema.go.ke/images/Docs/EIA_Licenses/Kiambu_Quarry_Audit_Report_2022.pdf,Environmental Audit Registry,-1.1,37.1,0,0,Licensing Conditions Review,Blasting Buffer Zone Enforced,,,,,,
KMB-LND-049,KMB-LND-049,Kiambu,Thika / Ndula,8/11/2016,5/24/2021,Public petitions demand returning thousands of acres of pineapple plantations.,Land,Large-Scale Lease Row,Kandara Residents Association vs. Agribusiness Corp,Land use and socio-spatial battle over historical colonial land allocation boundaries and the non-renewal of massive corporate farming leases.,Business & Human Rights,https://www.business-humanrights.org/en/latest-news/del-monte-land-lease-row-deepens-as-kiambu-county-government-declines-to-renew-it/,Corporate Watch Archive,-1.15,37.1,0,0,Constitutional Petition,National Land Commission Review,,,,,,
KMB-WAT-064,KMB-WAT-064,Kiambu,Chania River Axis,2/18/2016,10/22/2019,Disagreements over bulk water extraction rates to feed Kiambu's expanding towns.,Water,Trans-County Allocation,Regional Inter-County Boards vs. National Water Regulator,Inter-basinal political friction where upstream leadership threatened to shut off extraction infrastructure supplying downstream urban domestic users.,Parliament of Kenya Archive,https://www.parliament.go.ke/sites/default/files/2019-10/Report%20on%20Chania%20Water%20Sharing%2Formula.pdf,Parliamentary Oversight File,-1.0833,36.8333,0,0,Legislative Committee Inquiry,Revenue and Rationing Pact Signed,,,,,,
KMB-LND-085,KMB-LND-085,Kiambu,Thika Sub-County / Ngararia,6/18/2010,3/22/2019,Bitter management blockades halt the mapping and title allocation of old ranch farms.,Land,Agricultural Company Split,Splinter Group Directors vs. Founding Land Shareholders,Long-running physical and legal fight involving thousands of ancestral land buyers over overlapping registers and missing plot boundary allocations.,High Court of Kenya (ELC),[suspicious link removed],Official Case Law Database,-1.1833,36.8333,0,0,Corporate Liquidation Suit,Court-Supervised Land Surveying,,,,,,
TUR-LND-006,TUR-LND-006,Turkana,Kainuk / Border,8/25/2017,10/12/2022,Armed ambushes along administrative boundaries over strategic river valley access.,Land,Inter-County Boundary Row,Turkana South Herders vs. Pokot Border Pastors,"High-tension territorial war over the control of arable riverine pastures and watering banks along the Turkwel River boundary axis, disrupting trade networks.",High Court of Kenya,[suspicious link removed],Official Case Law Database,1.3,35.6,15,600,Boundary Commission Review,Security Buffer Zones Established,"border-clash, riverine-pasture, Pokot, Kainuk",Yes,0.95,Monitored by joint multi-agency security teams from both counties.,,
TUR-LND-008,TUR-LND-008,Turkana,Turkwel Dam Axis,2/11/2015,8/24/2019,Protests and administrative blockades over unfulfilled resettlement land allocations.,Land,Hydro-Power Land Dispute,Displaced Families vs. Regional Energy Corporation,Legacy property battle where communities displaced during the dam's historical construction filed claims over broken land allocation promises and lack of irrigation utility taps.,Energy & Petroleum Tribunal,[suspicious link removed],Official Case Law Database,2.15,35.35,0,110,Land Acquisition Tort,Compensation Adjustments Awarded,"hydro-dam, displacement, resettlement, compensation",Yes,0.9,Legal tracking handled under KenGen historical compensation files.,,
TUR-LND-016,TUR-LND-016,Turkana,Lokiriama / Border,9/11/2018,12/15/2022,High-casualty armed raids over shared dry-season migration grazing pockets.,Land,Transboundary Range War,Turkana South Pastors vs. Karamojong Herder Units,Protracted socio-spatial border conflict driven by extreme weather changes that caused uncoordinated migrations into critical transboundary reserve blocks.,Pax Christi International,https://www.paxforpeace.nl/media/download/pax-report-the-turkana-tribunal.pdf,NGO Peace Archive,2.25,34.95,18,450,International Border Peace Treaty,Lokiriama Peace Accord Re-affirmed,"range-war, Karamojong, cross-border, Lokiriama",Yes,0.96,Historical conflict node with established cross-border peace monuments.,,
